REGISTRATION_SCHOOL_CODE,REGISTRATION_SCHOOL_YEAR,REGISTRATION_ASN,REGISTRATION_START_DATE,REGISTRATION_EXIT_DATE
2239,2023,033182594,31-AUG-22,27-JUN-23
1102,2023,008252547,31-AUG-22,27-JUN-23
1105,2022,001547885,31-AUG-21,28-JUN-22
1105,2022,044477660,31-AUG-21,28-JUN-22
1424,2023,034502410,31-AUG-22,27-JUN-23
1112,2023,046511136,31-AUG-22,27-JUN-23
0590,2023,029071942,31-AUG-22,27-JUN-23
1112,2023,028424290,31-AUG-22,27-JUN-23
1102,2022,006818547,31-AUG-21,28-JUN-22
1105,2023,024296569,31-AUG-22,27-JUN-23
1105,2023,001547885,31-AUG-22,27-JUN-23
1105,2023,044477660,31-AUG-22,27-JUN-23
1108,2022,050137562,31-AUG-21,28-JUN-22
2078,2023,021879268,31-AUG-22,27-JUN-23
1102,2023,004825064,31-AUG-22,27-JUN-23
1115,2022,001288217,31-AUG-21,28-JUN-22
1102,2022,038132693,31-AUG-21,28-JUN-22
1105,2022,050931725,31-AUG-21,28-JUN-22
1115,2023,001288217,31-AUG-22,27-JUN-23
1102,2022,046919263,31-AUG-21,28-JUN-22
0590,2022,035998146,31-AUG-21,28-JUN-22
2078,2023,046452760,31-AUG-22,27-JUN-23
1306,2022,034063181,31-AUG-21,28-JUN-22
1203,2023,024335789,31-AUG-22,27-JUN-23
1102,2023,002823376,31-AUG-22,27-JUN-23
1203,2023,033996274,31-AUG-22,27-JUN-23
0590,2023,011029320,31-AUG-22,27-JUN-23
0590,2022,045517985,31-AUG-21,28-JUN-22
1306,2023,034063181,31-AUG-22,27-JUN-23
1103,2022,032719321,31-AUG-21,28-JUN-22
1101,2023,005341608,31-AUG-22,24-NOV-22
1111,2023,036939073,31-AUG-22,27-JUN-23
2078,2022,032051642,31-AUG-21,28-JUN-22
1102,2023,035613471,31-AUG-22,27-JUN-23
1103,2022,017992182,31-AUG-21,28-JUN-22
2078,2023,002140441,31-AUG-22,27-JUN-23
2078,2022,012613890,31-AUG-21,28-JUN-22
1203,2022,011582716,31-AUG-21,28-JUN-22
1108,2022,028131606,31-AUG-21,28-JUN-22
1115,2022,036284041,31-AUG-21,28-JUN-22
1104,2022,046461928,31-AUG-21,28-JUN-22
1108,2023,044019025,31-AUG-22,27-JUN-23
1101,2022,018121401,31-AUG-21,28-JUN-22
1107,2023,027390450,31-AUG-22,27-JUN-23
1115,2022,026307042,31-AUG-21,28-JUN-22
1112,2022,048574470,31-AUG-21,28-JUN-22
1108,2023,002785831,31-AUG-22,27-JUN-23
0590,2022,000706177,31-AUG-21,28-JUN-22
1105,2023,046680899,31-AUG-22,27-JUN-23
1111,2022,004113271,31-AUG-21,28-JUN-22
1112,2023,014378989,31-AUG-22,27-JUN-23
