COURSE_COSE,COURSE_ENGLISH_FULL_NAME,COURSE_ENGLISH_SHORT_NAME,COURSE_FRENCH_FULL_NAME,COURSE_FRENCH_SHORT_NAME
LDC3274,Rock and Pop 35,Rock and Pop 35,Musique rock et pop 35,Musi rock et pop 35
LDC3271,Environment Studies 35,Environment Studies 35,Études de l'environnement 35,Étud enviro 35
LDC3263,Mentorship 35,Mentorship 35,Mentorat 35,Mentorat 35
LDC3290,Science 35,Science 35,Sciences 35,Sciences 35
LDC3277,Dance Technique 35,Dance Technique 35,Techniques de danse 35,Techn danse 35
LDC3364,Lead with Character 35,Lead with Character 35,Leadeurship et développement personel 35,Lead et dév pers 35
LDC3427,Music 35,Music 35,Musique 35,Musique 35
LDC3496,Let's Create Shadows 35,Let's Create Shadows 35,Créons des ombres 35,Créons ombres 35
HSS1080,Leadership Fundamentals 1,Leadership Fundament 1,Fondements du leadeurship 1,Fond. leadeurship 1
HSS1050,Introduction to Mentorship,Intro to Mentorship,Introduction au mentorat,Introduction mentorat
HSS1030,Communication Skills for Health Professionals,CommSkills Health Prof,Habiletés en communication pour les professionnels de la santé,Habil comm prof sante
HSS2910,HSS Project B,HSS Project B,HSS - Projet B,HSS - Projet B
HSS2040,Family Foundations,Family Foundations,Fondements de la famille,Fondements famille
HSS1910,HSS Project A,HSS Project A,HSS - Projet A,HSS - Projet A
IED2810,Related Mechanics 22B,Related Mechanics 22B,Metiers/mecanique 22B,Metiers/mecanique 22B
IED3924,Industrial Physics 32,Industrial Physics 32,Physique industr. 32,Physique industr. 32
IED3917,Horticulture 32B,Horticulture 32B,Horticulture 32B,Horticulture 32B
INF2120,Software Integration 1,Software Integration 1,Integration logiciels 1,Integration logiciels 1
INF3230,Dynamic Data Structures 1,Dynamic Data Structures 1,Structures dynamiques de données 1,Struct dynamiques données 1
INF3220,Object-oriented Programming 2,Object-oriented Programming 2,Programmation orientée objet 2,Programmation orientée objet 2
INF3170,Programming Application 3,Programming Application 3,Nouvelles applications 3,Nouvelles applications 3
IOP1291,Science 16,Science 16,Sciences 16,Sciences 16
